k=200, E_in=0.42414385108882263
k=201, E_in=0.4246860034336315
k=202, E_in=0.4236016987440137
k=203, E_in=0.4234209812957441
k=204, E_in=0.4228788289509352
k=205, E_in=0.4222463178819915
k=206, E_in=0.42125237191650855
k=207, E_in=0.4214330893647782
k=208, E_in=0.4227884702268004
k=209, E_in=0.4234209812957441
k=210, E_in=0.4236016987440137
k=211, E_in=0.4243245685370923
k=212, E_in=0.4228788289509352
k=213, E_in=0.4206198608475648
k=214, E_in=0.4191741212614078
k=215, E_in=0.4204391433992952
k=216, E_in=0.4209812957441041
k=217, E_in=0.42089093701996927
k=218, E_in=0.42188488298545224
k=219, E_in=0.42269811150266556
