k=300, E_in=0.4192644799855426
k=301, E_in=0.4192644799855426
k=302, E_in=0.42007770850275594
k=303, E_in=0.4206198608475648
k=304, E_in=0.42052950212343004
k=305, E_in=0.42016806722689076
k=306, E_in=0.41944519743381226
k=307, E_in=0.41944519743381226
k=308, E_in=0.41899340381313815
k=309, E_in=0.4203487846751604
k=310, E_in=0.4192644799855426
k=311, E_in=0.4203487846751604
k=312, E_in=0.4204391433992952
k=313, E_in=0.421523448088913
k=314, E_in=0.419083762537273
k=315, E_in=0.4177283816752507
k=316, E_in=0.41718622933044186
k=317, E_in=0.4172765880545767
k=318, E_in=0.4202584259510256
k=319, E_in=0.4198066323303515
