k=2, E_in=0.468961778259691
k=3, E_in=0.468961778259691
k=4, E_in=0.468961778259691
k=5, E_in=0.468961778259691
k=6, E_in=0.468961778259691
k=7, E_in=0.468961778259691
k=8, E_in=0.4656185054667028
k=9, E_in=0.468961778259691
k=10, E_in=0.4585705249841872
k=11, E_in=0.4607391343634228
k=12, E_in=0.4559501219842776
k=13, E_in=0.4573958615704346
k=14, E_in=0.457215144122165
k=15, E_in=0.46110056925996207
k=16, E_in=0.46128128670823165
k=17, E_in=0.45875124243245685
k=18, E_in=0.4589319598807265
k=19, E_in=0.45342007770850273
k=20, E_in=0.4511611096051324
k=21, E_in=0.43968555164001083
k=22, E_in=0.45504653474292944
k=23, E_in=0.4466431733983916
k=24, E_in=0.44311918315713383
k=25, E_in=0.44140236739857236
k=26, E_in=0.4419445197433812
k=27, E_in=0.43833017077798864
k=28, E_in=0.44013734526068493
k=29, E_in=0.44492635763983013
k=30, E_in=0.44212523719165087
k=31, E_in=0.43860124695039304
k=32, E_in=0.4407698563296286
k=33, E_in=0.43833017077798864
k=34, E_in=0.44013734526068493
k=35, E_in=0.44266738953645973
k=36, E_in=0.438149453329719
k=37, E_in=0.4374265835366405
k=38, E_in=0.4419445197433812
k=39, E_in=0.44022770398481975
k=40, E_in=0.43986626908828047
k=41, E_in=0.4407698563296286
k=42, E_in=0.4400469865365501
k=43, E_in=0.4377880184331797
k=44, E_in=0.4385108882262582
k=45, E_in=0.4352579741574049
k=46, E_in=0.43534833288153973
k=47, E_in=0.4335411583988434
k=48, E_in=0.4311918315713382
k=49, E_in=0.4363422788470227
k=50, E_in=0.4362519201228879
k=51, E_in=0.4364326375711575
k=52, E_in=0.4364326375711575
k=53, E_in=0.4358001265022138
k=54, E_in=0.4366133550194271
k=55, E_in=0.4370651486401012
k=56, E_in=0.4370651486401012
k=57, E_in=0.43688443119183157
k=58, E_in=0.4350772567091353
k=59, E_in=0.43679407246769675
k=60, E_in=0.4358001265022138
k=61, E_in=0.43236649498509083
k=62, E_in=0.43453510436432635
k=63, E_in=0.4377880184331797
k=64, E_in=0.4380590946055842
k=65, E_in=0.4333604409505738
k=66, E_in=0.4350772567091353
k=67, E_in=0.43561940905394414
k=68, E_in=0.4325472124333604
k=69, E_in=0.4344447456401916
k=70, E_in=0.43317972350230416
k=71, E_in=0.4340833107436523
k=72, E_in=0.4335411583988434
k=73, E_in=0.4306496792265293
k=74, E_in=0.43534833288153973
k=75, E_in=0.4305593205023945
k=76, E_in=0.4311918315713382
k=77, E_in=0.4334507996747086
k=78, E_in=0.43164362519201227
k=79, E_in=0.4339929520195175
k=80, E_in=0.42965573326104634
k=81, E_in=0.4306496792265293
k=82, E_in=0.43200506008855155
k=83, E_in=0.42793891750248486
k=84, E_in=0.4307400379506641
k=85, E_in=0.42965573326104634
k=86, E_in=0.43200506008855155
k=87, E_in=0.42784855877835004
k=88, E_in=0.4302882443299901
k=89, E_in=0.43092075539893376
k=90, E_in=0.4305593205023945
k=91, E_in=0.42839071112315896
k=92, E_in=0.4307400379506641
k=93, E_in=0.42902322219210265
k=94, E_in=0.4277582000542152
k=95, E_in=0.42893286346796783
k=96, E_in=0.4258606668473841
k=97, E_in=0.42866178729556337
k=98, E_in=0.4284810698472938
k=99, E_in=0.42784855877835004
