k=500, E_in=0.40480708412397215
k=501, E_in=0.40336134453781514
k=502, E_in=0.4028191921930062
k=503, E_in=0.40408421433089364
k=504, E_in=0.4036324207102196
k=505, E_in=0.40345170326194996
k=506, E_in=0.40345170326194996
k=507, E_in=0.403903496882624
k=508, E_in=0.4055299539170507
k=509, E_in=0.4044456492274329
k=510, E_in=0.4054395951929159
k=511, E_in=0.40589138881358994
k=512, E_in=0.40516851902051143
k=513, E_in=0.40589138881358994
k=514, E_in=0.4060721062618596
k=515, E_in=0.403903496882624
k=516, E_in=0.40462636667570256
k=517, E_in=0.4054395951929159
k=518, E_in=0.4043552905032981
k=519, E_in=0.40263847474473663
